curso_academico,des_provincia_centro_sec,nota_media,nota_minima,percentil_25,percentil_50,percentil_75
2019-20,Teruel,10.777166666666666,6.891,8.1175,11.914,12.76275
2019-20,Toledo,10.184404641775984,5.174,8.838000000000001,10.374,11.666
2019-20,Valencia,9.754239316239318,5.2,8.134,9.792,11.52
2019-20,Valladolid,8.999138962765958,5.0,7.071,8.64,11.02025
2019-20,Bizkaia,9.717310344827586,5.332,7.9915,10.224,10.8325
2019-20,Zamora,9.158894117647058,5.158,7.335,9.17,10.826
2019-20,Zaragoza,10.424756906077349,5.01,9.411,10.775,12.022
2019-20,Álava,9.756439024390245,5.615,7.506,10.232,11.852
2019-20,Ávila,9.645478021978022,5.287,8.24025,9.957,11.21
2020-21,La Coruña,11.239670588235294,5.846,10.34,11.338,12.69
2020-21,Albacete,11.285666666666668,5.426,10.491,11.96,12.686
2020-21,Alicante,10.855856249999999,5.442,9.823,11.106,12.1635
2020-21,Almería,11.914846153846154,7.9,11.07,12.203,13.255
2020-21,Asturias,11.523428571428571,5.506,11.024000000000001,11.918,12.607
2020-21,Badajoz,11.30275147928994,5.15,10.098,11.599,12.926
2020-21,Barcelona,9.628594202898551,5.27,7.96,9.31,11.342
2020-21,Burgos,10.575636363636363,5.4,8.754,11.228,12.185
2020-21,Cantabria,11.219043859649123,5.77,10.11825,11.655,12.522
2020-21,Castellón,9.927157894736842,6.998,8.869,10.074,11.052
2020-21,Ceuta,9.94925,8.301,9.174,10.119,10.89425
2020-21,Ciudad Real,11.109421348314607,5.264,9.6975,11.485,12.79
2020-21,Cuenca,10.847159999999999,5.026,9.18575,11.205,12.5785
2020-21,Cáceres,11.276934782608697,5.829,10.04975,11.848,12.832
2020-21,Cádiz,11.051983333333334,5.747,9.94075,11.291,12.652
2020-21,Córdoba,11.247133333333332,5.86,9.768,11.82,12.682500000000001
2020-21,Gerona,10.796999999999999,6.384,9.0545,12.0,12.937000000000001
2020-21,Granada,11.24604761904762,6.324,10.038499999999999,11.83,12.866
2020-21,Guadalajara,10.279869841269841,5.214,8.8535,10.44,11.81
2020-21,Gipuzkoa,10.338302325581395,5.344,8.792000000000002,10.6325,12.114
